"colostrum","milky fluid secreted for the first day or two after parturition"
"picture","a form of entertainment that enacts a story by a sequence of images giving the illusion of continuous movement; ""they went to a movie every Saturday night""; ""the film was shot on location"""
"pic","a form of entertainment that enacts a story by a sequence of images giving the illusion of continuous movement; ""they went to a movie every Saturday night""; ""the film was shot on location"""
"flick","a form of entertainment that enacts a story by a sequence of images giving the illusion of continuous movement; ""they went to a movie every Saturday night""; ""the film was shot on location"""
"scene","a consecutive series of pictures that constitutes a unit of action in a film"
"shot","a consecutive series of pictures that constitutes a unit of action in a film"
"outtake","a scene that is filmed but is not used in the final editing of the film"
"feature","the principal (full-length) film in a program at a movie theater; ""the feature tonight is `Casablanca''"""
"travelogue","a film or illustrated lecture on traveling"
"travelog","a film or illustrated lecture on traveling"
"attraction","an entertainment that is offered to the public"
"Western","a film about life in the western United States during the period of exploration and development"
"cartoon","a film made by photographing a series of cartoon drawings to give the illusion of movement when projected in rapid sequence"
"newsreel","a short film and commentary about current events"
"documentary","a film or TV program presenting the facts about a person or event"
"docudrama","a film or TV program presenting the facts about a person or event"
"infotainment","a film or TV program presenting the facts about a person or event"
"peepshow","a short pornographic film shown in a small coin-operated booth"
"silents","a movie without a soundtrack"
"dissolve","(film) a gradual transition from one scene to the next; the next scene is gradually superimposed as the former scene fades out"
"cut","(film) an immediate transition from one shot to the next; ""the cut from the accident scene to the hospital seemed too abrupt"""
"jump","(film) an abrupt transition from one scene to another"
"talkie","a movie with synchronized speech and singing"
"show","a public exhibition or entertainment; ""they wanted to see some of the shows on Broadway"""
"broadcast","a radio or television show; ""did you see his program last night?"""
"program","a radio or television show; ""did you see his program last night?"""
"programme","a radio or television show; ""did you see his program last night?"""
"sitcom","a situation comedy"
"news","a program devoted to news; ""we watch the 7 o''clock news every night"""
"rerun","a program that is broadcast again; ""she likes to watch `I love Lucy'' reruns"""
"pilot","a program exemplifying a contemplated series; intended to attract sponsors"
"giveaway","a television or radio program in which contestants compete for awards"
"serial","a serialized set of programs; ""a comedy series""; ""the Masterworks concert series"""
"series","a serialized set of programs; ""a comedy series""; ""the Masterworks concert series"""
"cliffhanger","an episode that ends in suspense"
"episode","a part of a broadcast serial"
"installment","a part of a broadcast serial"
"instalment","a part of a broadcast serial"
"tetralogy","a series of four related works (plays or operas or novels)"
"simulcast","a broadcast that is carried simultaneously by radio and television (or by FM and AM radio)"
"telecast","a television broadcast"
"telegram","a message transmitted by telegraph"
"wire","a message transmitted by telegraph"
"airmail","letters and packages that are transported by aircraft"
"Kamasutra","(Hinduism) an ancient Sanskrit text giving rules for sensuous and sensual pleasure and love and marriage in accordance with Hindu law"
"sutra","a rule or aphorism in Sanskrit literature or a group of aphoristic doctrinal summaries prepared for memorization"
"letter","a written message addressed to a person or organization; ""mailed an indignant letter to the editor"""
"missive","a written message addressed to a person or organization; ""mailed an indignant letter to the editor"""
"encyclical","a letter from the pope sent to all Roman Catholic bishops throughout the world"
"pastoral","a letter from a pastor to the congregation"
"aerogram","a letter sent by air mail"
"aerogramme","a letter sent by air mail"
"epistle","especially a long, formal letter"
"note","a short personal letter; ""drop me a line when you get there"""
"line","a short personal letter; ""drop me a line when you get there"""
"billet","a short personal letter; ""drop me a line when you get there"""
"excuse","a note explaining an absence; ""he had to get his mother to write an excuse for him"""
"card","a rectangular piece of stiff paper used to send messages (may have printed greetings or pictures); ""they sent us a card from Miami"""
"Valentine","a card sent or given (as to a sweetheart) on Saint Valentine''s Day"
"postcard","a card for sending messages by post without an envelope"
"lettercard","a postcard that folds so the message is inside"
"farewell","an acknowledgment or expression of goodwill at parting"
"adieu","a farewell remark; ""they said their good-byes"""
"adios","a farewell remark; ""they said their good-byes"""
"arrivederci","a farewell remark; ""they said their good-byes"""
"bye","a farewell remark; ""they said their good-byes"""
"cheerio","a farewell remark; ""they said their good-byes"""
"goodby","a farewell remark; ""they said their good-byes"""
"goodbye","a farewell remark; ""they said their good-byes"""
"sayonara","a farewell remark; ""they said their good-byes"""
"greeting","(usually plural) an acknowledgment or expression of good will (especially on meeting)"
"salutation","(usually plural) an acknowledgment or expression of good will (especially on meeting)"
"regard","(usually plural) a polite expression of desire for someone''s welfare; ""give him my kind regards""; ""my best wishes"""
"wish","(usually plural) a polite expression of desire for someone''s welfare; ""give him my kind regards""; ""my best wishes"""
"compliments","(usually plural) a polite expression of desire for someone''s welfare; ""give him my kind regards""; ""my best wishes"""
"reception","the manner in which something is greeted; ""she did not expect the cold reception she received from her superiors"""
"response","the manner in which something is greeted; ""she did not expect the cold reception she received from her superiors"""
"hail","enthusiastic greeting"
"pax","(Roman Catholic Church) a greeting signifying Christian love for those assisting at the Eucharist"
"welcome","a greeting or reception; ""the proposal got a warm welcome"""
"hospitality","kindness in welcoming guests or strangers"
"inhospitality","unkind and inconsiderate welcome; ""he was taken aback by such inhospitality"""
"aloha","an acknowledgment that can be used to say hello or goodbye (aloha is Hawaiian and ciao is Italian)"
"ciao","an acknowledgment that can be used to say hello or goodbye (aloha is Hawaiian and ciao is Italian)"
"handshake","grasping and shaking a person''s hand (as to acknowledge an introduction or to agree on a contract)"
"shake","grasping and shaking a person''s hand (as to acknowledge an introduction or to agree on a contract)"
"handshaking","grasping and shaking a person''s hand (as to acknowledge an introduction or to agree on a contract)"
"handclasp","grasping and shaking a person''s hand (as to acknowledge an introduction or to agree on a contract)"
"salute","an act of greeting with friendly words and gestures like bowing or lifting the hat"
"hello","an expression of greeting; ""every morning they exchanged polite hellos"""
"hullo","an expression of greeting; ""every morning they exchanged polite hellos"""
"howdy","an expression of greeting; ""every morning they exchanged polite hellos"""
"morning","a conventional expression of greeting or farewell"
"afternoon","a conventional expression of greeting or farewell"
"salute","a formal military gesture of respect"
"card","a printed or written greeting that is left to indicate that you have visited"
"apology","an expression of regret at having caused trouble for someone; ""he wrote a letter of apology to the hostess"""
"condolence","an expression of sympathy with another''s grief; ""they sent their condolences"""
"commiseration","an expression of sympathy with another''s grief; ""they sent their condolences"""
"felicitation","the act of acknowledging that someone has an occasion for celebration"
"refusal","a message refusing to accept something that is offered"
"declination","a polite refusal of an invitation"
"regrets","a polite refusal of an invitation"
"information","a message received and understood"
"info","a message received and understood"
"blowback","misinformation resulting from the recirculation into the source country of disinformation previously planted abroad by that country''s intelligence service"
"material","information (data or ideas or observations) that can be used or reworked into a finished form; ""the archives provided rich material for a definitive biography"""
"rehash","old material that is slightly reworked and used again; ""merely a dull rehash of his first novel"""
"details","true confidential information; ""after the trial he gave us the real details"""
"dope","slang terms for inside information; ""is that the straight dope?"""
"poop","slang terms for inside information; ""is that the straight dope?"""
"fact","a statement or assertion of verified information about something that is the case or has happened; ""he supported his argument with an impressive array of facts"""
"record","a compilation of the known facts regarding something or someone; ""Al Smith used to say, `Let''s look at the record''""; ""his name is in all the recordbooks"""
"book","a compilation of the known facts regarding something or someone; ""Al Smith used to say, `Let''s look at the record''""; ""his name is in all the recordbooks"""
"format","the organization of information according to preset specifications (usually for computer processing)"
"formatting","the organization of information according to preset specifications (usually for computer processing)"
"gen","informal term for information; ""give me the gen on your new line of computers"""
"database","an organized body of related information"
"MEDLARS","relational database of the United States National Library of Medicine for the storage and retrieval of bibliographical information concerning the biomedical literature"
"MRD","a machine-readable version of a standard dictionary; organized alphabetically"
"WordNet","a machine-readable lexical database organized by meanings; developed at Princeton University"
"wordnet","any of the machine-readable lexical databases modeled after the Princeton WordNet"
"basics","a statement of fundamental facts or principles"
"rudiments","a statement of fundamental facts or principles"
"index","a number or ratio (a value on a scale of measurement) derived from a series of observed facts; can reveal relative changes as a function of time"
"indicant","a number or ratio (a value on a scale of measurement) derived from a series of observed facts; can reveal relative changes as a function of time"
"indicator","a number or ratio (a value on a scale of measurement) derived from a series of observed facts; can reveal relative changes as a function of time"
"CPI","an index of the cost of all goods and services to a typical consumer"
"news","new information about specific and timely events; ""they awaited news of the outcome"""
"intelligence","new information about specific and timely events; ""they awaited news of the outcome"""
"tidings","new information about specific and timely events; ""they awaited news of the outcome"""
"word","new information about specific and timely events; ""they awaited news of the outcome"""
"news","new information of any kind; ""it was news to me"""
"intelligence","secret information about an enemy (or potential enemy); ""we sent out planes to gather intelligence on their radar coverage"""
"update","news that updates your information"
"evidence","an indication that makes something evident; ""his trembling was evidence of his fear"""
"clue","evidence that helps to solve a problem"
"clew","evidence that helps to solve a problem"
"cue","evidence that helps to solve a problem"
"fingerprint","biometric identification from a print made by an impression of the ridges in the skin of a finger; often used as evidence in criminal investigations"
"loop","the basic pattern of the human fingerprint"
"thumbprint","fingerprint made by the thumb (especially by the pad of the thumb)"
"footprint","a mark of a foot or shoe on a surface; ""the police made casts of the footprints in the soft earth outside the window"""
"footmark","a mark of a foot or shoe on a surface; ""the police made casts of the footprints in the soft earth outside the window"""
"step","a mark of a foot or shoe on a surface; ""the police made casts of the footprints in the soft earth outside the window"""
"voiceprint","biometric identification by electronically recording and graphically representing a person''s voice; ""voiceprints are uniquely characteristic of individual speakers"""
"sign","a perceptible indication of something not immediately apparent (as a visible clue that something has happened); ""he showed signs of strain""; ""they welcomed the signs of spring"""
"mark","a perceptible indication of something not immediately apparent (as a visible clue that something has happened); ""he showed signs of strain""; ""they welcomed the signs of spring"""
"trace","an indication that something has been present; ""there wasn''t a trace of evidence for the claim""; ""a tincture of condescension"""
"vestige","an indication that something has been present; ""there wasn''t a trace of evidence for the claim""; ""a tincture of condescension"""
"tincture","an indication that something has been present; ""there wasn''t a trace of evidence for the claim""; ""a tincture of condescension"""
"shadow","an indication that something has been present; ""there wasn''t a trace of evidence for the claim""; ""a tincture of condescension"""
"footprint","a trace suggesting that something was once present or felt or otherwise important; ""the footprints of an earlier civilization"""
"trace","a visible mark (as a footprint) left by the passage of person or animal or vehicle"
"record","anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events; ""the film provided a valuable record of stage techniques"""
"proof","a formal series of statements showing that if one thing is true something else necessarily follows from it"
"demonstration","proof by a process of argument or a series of proposition proving an asserted conclusion"
"monstrance","proof by a process of argument or a series of proposition proving an asserted conclusion"
"testimony","something that serves as evidence; ""his effort was testimony to his devotion"""
"testimonial","something that serves as evidence; ""his effort was testimony to his devotion"""
"testament","strong evidence for something; ""his easy victory was a testament to his skill"""
"argument","a fact or assertion offered as evidence that something is true; ""it was a strong argument that his hypothesis was true"""
"statement","a fact or assertion offered as evidence that something is true; ""it was a strong argument that his hypothesis was true"""
"pro","an argument in favor of a proposal"
"con","an argument opposed to a proposal"
"case","a statement of facts and reasons used to support an argument; ""he stated his case clearly"""
"clincher","an argument that is conclusive"
"determiner","an argument that is conclusive"
"adducing","citing as evidence or proof"
"attestation","the evidence by which something is attested"
"confirmation","information that confirms or verifies"
"reinforcement","information that makes more forcible or convincing; ""his gestures provided eloquent reinforcement for his complaints"""
"reenforcement","information that makes more forcible or convincing; ""his gestures provided eloquent reinforcement for his complaints"""
"documentation","confirmation that some fact or statement is true"
"certification","confirmation that some fact or statement is true"
"corroboration","confirmation that some fact or statement is true"
"guidance","something that provides direction or advice as to a decision or course of action"
"counsel","something that provides direction or advice as to a decision or course of action"
"counseling","something that provides direction or advice as to a decision or course of action"
"counselling","something that provides direction or advice as to a decision or course of action"
"direction","something that provides direction or advice as to a decision or course of action"
"cynosure","something that provides guidance (as Polaris guides mariners); ""let faith be your cynosure to walk by"""
"tip","an indication of potential opportunity; ""he got a tip on the stock market""; ""a good lead for a job"""
"lead","an indication of potential opportunity; ""he got a tip on the stock market""; ""a good lead for a job"""
"steer","an indication of potential opportunity; ""he got a tip on the stock market""; ""a good lead for a job"""
"wind","an indication of potential opportunity; ""he got a tip on the stock market""; ""a good lead for a job"""
"hint","an indication of potential opportunity; ""he got a tip on the stock market""; ""a good lead for a job"""
"rule","any one of a systematic body of regulations defining the way of life of members of a religious order; ""the rule of St. Dominic"""
"rule","prescribed guide for conduct or action"
"prescript","prescribed guide for conduct or action"
"rubric","an authoritative rule of conduct or procedure"
"rubric","directions for the conduct of Christian church services (often printed in red in a prayer book)"
"order","a body of rules followed by an assembly"
"estoppel","a rule of evidence whereby a person is barred from denying the truth of a fact that has already been settled"
"principle","rule of personal conduct"
"precept","rule of personal conduct"
"GIGO","(computer science) a rule stating that the quality of the output is a function of the quality of the input; put garbage in and you get garbage out"
"policy","a line of argument rationalizing the course of action of a government; ""they debated the policy or impolicy of the proposed legislation"""
"control","the economic policy of controlling or limiting or curbing prices or wages etc.; ""they wanted to repeal all the legislation that imposed economic controls"""
"ceiling","an upper limit on what is allowed; ""they established a cap for prices"""
"cap","an upper limit on what is allowed; ""they established a cap for prices"""
"floor","a lower limit; ""the government established a wage floor"""
"base","a lower limit; ""the government established a wage floor"""
"perestroika","an economic policy adopted in the former Soviet Union; intended to increase automation and labor efficiency but it led eventually to the end of central planning in the Russian economy"
"protectionism","the policy of imposing duties or quotas on imports in order to protect home industries from overseas competition"
"apartheid","a social policy or racial segregation involving political and economic and legal discrimination against non-whites; the former official policy in South Africa"
"glasnost","a policy of the Soviet government allowing freer discussion of social problems"
"quota","a limitation on imports; ""the quota for Japanese imports was negotiated"""
"embargo","a government order imposing a trade barrier"
"nativism","the policy of perpetuating native cultures (in opposition to acculturation)"
"brinkmanship","the policy of pushing a dangerous situation to the brink of disaster (to the limits of safety)"
"imperialism","a policy of extending your rule over foreign countries"
"intervention","a policy of intervening in the affairs of other countries"
"interference","a policy of intervening in the affairs of other countries"
"nonaggression","a policy of not initiating hostilities; ""they signed a nonaggression pact"""
"isolationism","a policy of nonparticipation in international economic and political relations"
"neutralism","a policy of neutrality or nonalignment in international affairs"
"regionalism","a foreign policy that defines the international interests of a country in terms of particular geographic areas"
"Zionism","a policy for establishing and developing a national homeland for Jews in Palestine"
"ethic","a system of principles governing morality and acceptable conduct"
"dictate","an authoritative rule"
"regulation","an authoritative rule"
"ordinance","an authoritative rule"
"assize","the regulation of weights and measures of articles offered for sale"
"canon","a rule or especially body of rules or principles generally established as valid and fundamental in a field or art or philosophy; ""the neoclassical canon""; ""canons of polite society"""
"etiquette","rules governing socially acceptable behavior"
"protocol","forms of ceremony and etiquette observed by diplomats and heads of state"
"protocol","(computer science) rules determining the format and transmission of data"
"FTP","protocol that allows users to copy files between their local system and any system they can reach on the network"
"HTTP","a protocol (utilizing TCP) to transfer hypertext requests and information between servers and browsers"
"MIDI","a standard protocol for communication between electronic musical instruments and computers"
"TCP","a protocol developed for the internet to get data from one network device to another; ""TCP uses a retransmission strategy to insure that data will not be lost in transmission"""
"TCP/IP","a set of protocols (including TCP) developed for the internet in the 1970s to get data from one network device to another"
"punctilio","a fine point of etiquette or petty formality"
"closure","a rule for limiting or ending debate in a deliberative body"
"cloture","a rule for limiting or ending debate in a deliberative body"
"guillotine","closure imposed on the debate of specific sections of a bill"
"code","a set of rules or principles or laws (especially written ones)"
"codification","a set of rules or principles or laws (especially written ones)"
"Bushido","traditional code of the Japanese samurai which stressed courage and loyalty and self-discipline and simple living"
"omerta","a code of silence practiced by the Mafia; a refusal to give evidence to the police about criminal activities"
"equation","a mathematical statement that two expressions are equal"
"quadratic","an equation in which the highest power of an unknown quantity is a square"
"biquadratic","an equation of the fourth degree"
"advice","a proposal for an appropriate course of action"
"indication","something (as a course of action) that is indicated as expedient or necessary; ""there were indications that it was time to leave"""
"referral","a recommendation to consult the (professional) person referred to; ""this patient is a referral from Dr. Bones"""
"admonition","cautionary advice about something imminent (especially imminent danger)"
"monition","cautionary advice about something imminent (especially imminent danger)"
"warning","cautionary advice about something imminent (especially imminent danger)"
"example","punishment intended as a warning to others; ""they decided to make an example of him"""
"lesson","punishment intended as a warning to others; ""they decided to make an example of him"""
"secret","information known only to a special group; ""the secret of Cajun cooking"""
"arcanum","information known only to a special group; ""the secret of Cajun cooking"""
"secret","something that should remain hidden from others (especially information that is not to be passed on); ""the combination to the safe was a secret""; ""he tried to keep his drinking a secret"""
"confidence","a secret that is confided or entrusted to another; ""everyone trusted him with their confidences""; ""the priest could not reveal her confidences"""
"esoterica","secrets known only to an initiated minority"
"cabala","an esoteric or occult matter resembling the Kabbalah that is traditionally secret"
"cabbala","an esoteric or occult matter resembling the Kabbalah that is traditionally secret"
"cabbalah","an esoteric or occult matter resembling the Kabbalah that is traditionally secret"
"kabala","an esoteric or occult matter resembling the Kabbalah that is traditionally secret"
"kabbala","an esoteric or occult matter resembling the Kabbalah that is traditionally secret"
"kabbalah","an esoteric or occult matter resembling the Kabbalah that is traditionally secret"
"qabala","an esoteric or occult matter resembling the Kabbalah that is traditionally secret"
"qabalah","an esoteric or occult matter resembling the Kabbalah that is traditionally secret"
"password","a secret word or phrase known only to a restricted group; ""he forgot the password"""
"watchword","a secret word or phrase known only to a restricted group; ""he forgot the password"""
"word","a secret word or phrase known only to a restricted group; ""he forgot the password"""
"parole","a secret word or phrase known only to a restricted group; ""he forgot the password"""
"countersign","a secret word or phrase known only to a restricted group; ""he forgot the password"""
"propaganda","information that is spread for the purpose of promoting some cause"
"agitprop","political propaganda (especially Communist propaganda) communicated via art and literature and cinema"
"prospectus","a catalog listing the courses offered by a college or university"
"source","a document (or organization) from which information is obtained; ""the reporter had two sources for the story"""
"specification","(patent law) a document drawn up by the applicant for a patent of invention that provides an explicit and detailed description of the nature and usse of an invention"
"voucher","a document that serves as evidence of some expenditure"
"well","an abundant source; ""she was a well of information"""
"wellspring","an abundant source; ""she was a well of information"""
"fountainhead","an abundant source; ""she was a well of information"""
"copy","material suitable for a journalistic account; ""catastrophes make good copy"""
"filler","copy to fill space between more important articles in the layout of a magazine or newspaper"
"program","an integrated course of academic studies; ""he was admitted to a new program at the university"""
"programme","an integrated course of academic studies; ""he was admitted to a new program at the university"""
"curriculum","an integrated course of academic studies; ""he was admitted to a new program at the university"""
"syllabus","an integrated course of academic studies; ""he was admitted to a new program at the university"""
"printing","reproduction by applying ink to paper as for publication"
"typography","art and technique of printing with movable type"
"composition","art and technique of printing with movable type"
"print","the result of the printing process; ""I want to see it in black and white"""
"letterpress","printing from a plate with raised characters"
"intaglio","a printing process that uses an etched or engraved plate; the plate is smeared with ink and wiped clean, then the ink left in the recesses makes the print"
"gravure","a printing process that uses an etched or engraved plate; the plate is smeared with ink and wiped clean, then the ink left in the recesses makes the print"
"photogravure","printing from an intaglio plate prepared by photographic methods"
"rotogravure","printing by transferring an image from a photogravure plate to a cylinder in a rotary press"
"planography","the process of printing from a surface on which the printing areas are not raised but are ink-receptive (as opposed to ink repellent)"
"collotype","a photomechanical printing process that uses a glass plate with a gelatin surface that carries the image to be reproduced; can be used with one or more colors"
"lithography","a method of planographic printing from a metal or stone surface"
"offset","a plate makes an inked impression on a rubber-blanketed cylinder, which in turn transfers it to the paper"
"news","information reported in a newspaper or news magazine; ""the news of my death was greatly exaggerated"""
"report","a short account of the news; ""the report of his speech""; ""the story was on the 11 o''clock news""; ""the account of his speech that was given on the evening news made the governor furious"""
"story","a short account of the news; ""the report of his speech""; ""the story was on the 11 o''clock news""; ""the account of his speech that was given on the evening news made the governor furious"""
"account","a short account of the news; ""the report of his speech""; ""the story was on the 11 o''clock news""; ""the account of his speech that was given on the evening news made the governor furious"""
"newsletter","report or open letter giving informal or confidential news of interest to a special group"
"newssheet","report or open letter giving informal or confidential news of interest to a special group"
"bulletin","a brief report especially an official statement issued for immediate publication or broadcast"
"newsflash","a short news announcement concerning some on-going news story"
"flash","a short news announcement concerning some on-going news story"
"newsbreak","a short news announcement concerning some on-going news story"
"dispatch","an official report (usually sent in haste)"
"despatch","an official report (usually sent in haste)"
"communique","an official report (usually sent in haste)"
"exclusive","a news report that is reported first by one news organization; ""he got a scoop on the bribery of city officials"""
"scoop","a news report that is reported first by one news organization; ""he got a scoop on the bribery of city officials"""
"newscast","a broadcast of news"
"coverage","the news as presented by reporters for newspapers or radio or television; ""they accused the paper of biased coverage of race relations"""
"reporting","the news as presented by reporters for newspapers or radio or television; ""they accused the paper of biased coverage of race relations"""
"reportage","the news as presented by reporters for newspapers or radio or television; ""they accused the paper of biased coverage of race relations"""
"commitment","a message that makes a pledge"
"dedication","a message that makes a pledge"
"oath","a commitment to tell the truth (especially in a court of law); to lie under oath is to become subject to prosecution for perjury"
"swearing","a commitment to tell the truth (especially in a court of law); to lie under oath is to become subject to prosecution for perjury"
"affirmation","(religion) a solemn declaration that serves the same purpose as an oath (if an oath is objectionable to the person on religious or ethical grounds)"
"profession","affirmation of acceptance of some religion or faith; ""a profession of Christianity"""
"giving","the imparting of news or promises etc.; ""he gave us the news and made a great show of the giving""; ""giving his word of honor seemed to come too easily"""
"guarantee","a written assurance that some product or service will be provided or will meet certain specifications"
"warrant","a written assurance that some product or service will be provided or will meet certain specifications"
"warrantee","a written assurance that some product or service will be provided or will meet certain specifications"
"warranty","a written assurance that some product or service will be provided or will meet certain specifications"
"security","a guarantee that an obligation will be met"
"surety","a guarantee that an obligation will be met"
"deposit","a payment given as a guarantee that an obligation will be met"
"guarantee","a pledge that something will happen or that something is true; ""there is no guarantee that they are not lying"""
"approval","a message expressing a favorable opinion; ""words of approval seldom passed his lips"""
"commendation","a message expressing a favorable opinion; ""words of approval seldom passed his lips"""
"approbation","official recognition or approval"
"sanction","formal and explicit approval; ""a Democrat usually gets the union''s endorsement"""
"countenance","formal and explicit approval; ""a Democrat usually gets the union''s endorsement"""
"endorsement","formal and explicit approval; ""a Democrat usually gets the union''s endorsement"""
"indorsement","formal and explicit approval; ""a Democrat usually gets the union''s endorsement"""
"warrant","formal and explicit approval; ""a Democrat usually gets the union''s endorsement"""
"imprimatur","formal and explicit approval; ""a Democrat usually gets the union''s endorsement"""
"O.K.","an endorsement; ""they gave us the O.K. to go ahead"""
"okay","an endorsement; ""they gave us the O.K. to go ahead"""
"okey","an endorsement; ""they gave us the O.K. to go ahead"""
"okeh","an endorsement; ""they gave us the O.K. to go ahead"""
"visa","an endorsement made in a passport that allows the bearer to enter the country issuing it"
"recognition","approval; ""give her recognition for trying""; ""he was given credit for his work""; ""give her credit for trying""; ""the credits were given at the end of the film"""
"credit","approval; ""give her recognition for trying""; ""he was given credit for his work""; ""give her credit for trying""; ""the credits were given at the end of the film"""
"memorial","a recognition of meritorious service"
"commemoration","a recognition of meritorious service"
"remembrance","a recognition of meritorious service"
"ovation","enthusiastic recognition (especially one accompanied by loud applause)"
"salute","an act of honor or courteous recognition; ""a musical salute to the composer on his birthday"""
"salutation","an act of honor or courteous recognition; ""a musical salute to the composer on his birthday"""
"connivance","(law) tacit approval of someone''s wrongdoing"
"permission","approval to do something; ""he asked permission to leave"""
"consent","permission to do something; ""he indicated his consent"""
"dismissal","permission to go; the sending away of someone"
"leave","permission to do something; ""she was granted leave to speak"""
"pass","a permit to enter or leave a military installation; ""he had to show his pass in order to get out"""
"pass","a document indicating permission to do something without restrictions; ""the media representatives had special passes"""
"pass","any authorization to pass or go somewhere; ""the pass to visit had a strict time limit"""
"passport","any authorization to pass or go somewhere; ""the pass to visit had a strict time limit"""
"safeguard","a document or escort providing safe passage through a region especially in time of war"
"encouragement","the expression of approval and support"
"acclaim","enthusiastic approval; ""the book met with modest acclaim""; ""he acknowledged the plaudits of the crowd""; ""they gave him more eclat than he really deserved"""
"acclamation","enthusiastic approval; ""the book met with modest acclaim""; ""he acknowledged the plaudits of the crowd""; ""they gave him more eclat than he really deserved"""
"plaudits","enthusiastic approval; ""the book met with modest acclaim""; ""he acknowledged the plaudits of the crowd""; ""they gave him more eclat than he really deserved"""
"plaudit","enthusiastic approval; ""the book met with modest acclaim""; ""he acknowledged the plaudits of the crowd""; ""they gave him more eclat than he really deserved"""
"eclat","enthusiastic approval; ""the book met with modest acclaim""; ""he acknowledged the plaudits of the crowd""; ""they gave him more eclat than he really deserved"""
"applause","a demonstration of approval by clapping the hands together"
"clapping","a demonstration of approval by clapping the hands together"
"hand","a round of applause to signify approval; ""give the little lady a great big hand"""
"handclap","a clap of the hands to indicate approval"
"round","an outburst of applause; ""there was a round of applause"""
"cheer","a cry or shout of approval"
"banzai","a Japanese cheer of enthusiasm or triumph"
"bravo","a cry of approval as from an audience at the end of great performance"
"hurrah","a victory cheer; ""let''s give the team a big hurrah"""
"hooray","a victory cheer; ""let''s give the team a big hurrah"""
"salvo","a sudden outburst of cheers; ""there was a salvo of approval"""
"praise","an expression of approval and commendation; ""he always appreciated praise for his work"""
"kudos","an expression of approval and commendation; ""he always appreciated praise for his work"""
"praise","offering words of homage as an act of worship; ""they sang a hymn of praise to God"""
"hallelujah","a shout or song of praise to God"
"rave","an extravagantly enthusiastic review; ""he gave it a rave"""
"superlative","an exaggerated expression (usually of praise); ""the critics lavished superlatives on it"""
"encomium","a formal expression of praise"
"eulogy","a formal expression of praise"
"panegyric","a formal expression of praise"
"paean","a formal expression of praise"
"pean","a formal expression of praise"
"testimonial","something that recommends (or expresses commendation) of a person or thing as worthy or desirable"
"character","a formal recommendation by a former employer to a potential future employer describing the person''s qualifications and dependability; ""requests for character references are all to often answered evasively"""
"reference","a formal recommendation by a former employer to a potential future employer describing the person''s qualifications and dependability; ""requests for character references are all to often answered evasively"""
"puff","exaggerated praise (as for promotional purposes)"
"compliment","a remark (or act) expressing praise and admiration"
"flattery","excessive or insincere praise"
"adulation","servile flattery; exaggerated and hypocritical praise"
"blandishment","flattery intended to persuade"
"cajolery","flattery intended to persuade"
"palaver","flattery intended to persuade"
"blarney","flattery designed to gain favor"
"coaxing","flattery designed to gain favor"
"unction","excessive but superficial compliments given with affected charm"
"smarm","excessive but superficial compliments given with affected charm"
"fulsomeness","excessive but superficial compliments given with affected charm"
"award","a tangible symbol signifying approval or distinction; ""an award for bravery"""
"accolade","a tangible symbol signifying approval or distinction; ""an award for bravery"""
"honor","a tangible symbol signifying approval or distinction; ""an award for bravery"""
"honour","a tangible symbol signifying approval or distinction; ""an award for bravery"""
"laurels","a tangible symbol signifying approval or distinction; ""an award for bravery"""
"aliyah","(Judaism) the honor of being called up to the reading desk in the synagogue to read from the Torah; ""he was called on for an aliyah"""
"tribute","something given or done as an expression of esteem"
"testimonial","something given or done as an expression of esteem"
"degree","an award conferred by a college or university signifying that the recipient has satisfactorily completed a course of study; ""he earned his degree at Princeton summa cum laude"""
"associate","a degree granted by a two-year college on successful completion of the undergraduates course of studies"
"AAS","an associate degree in applied science"
"baccalaureate","an academic degree conferred on someone who has successfully completed undergraduate studies"
"ABLS","a bachelor''s degree in library science"
"BAN","a bachelor''s degree in nursing"
"BLitt","a bachelor''s degree in literature"
"BMus","a bachelor''s degree in music"
"BNS","a bachelor''s degree in naval science"
"BSArch","a bachelor''s degree in architecture"
"ThB","a bachelor''s degree in theology"
"honours","a university degree with honors"
"first","an honours degree of the highest class"
"MArch","a degree granted for the successful completion of advanced study of architecture"
"MALS","a master''s degree in library science"
"MAT","a master''s degree in teaching"
"MBA","a master''s degree in business"
"MDiv","a master''s degree in religion"
"MEd","a master''s degree in education"
"MFA","a master''s degree in fine arts"
"MLitt","a master''s degree in literature"
"MLS","a master''s degree in library science"
"MSc","a master''s degree in science"
"ThM","a master''s degree in theology"
"doctorate","one of the highest academic degrees conferred by a university"
"DMD","a doctor''s degree in dental medicine"
"DDS","a doctor''s degree in dental surgery"
"EdD","a doctor''s degree in education"
"DEd","a doctor''s degree in education"
"DMus","a doctor''s degree in music"
"MusD","a doctor''s degree in music"
"AMusD","a doctor''s degree in musical arts"
"Ph.D.","an American doctorate usually based on at least 3 years graduate study and a dissertation; the highest degree awarded by a graduate school"
"PhD","an American doctorate usually based on at least 3 years graduate study and a dissertation; the highest degree awarded by a graduate school"
"DPhil","a British doctorate"
"DPH","a doctor''s degree in preventive medicine"
"ThD","a doctor''s degree in theology"
"LLB","a three-year law degree"
"LLM","an advanced law degree"
"ArtsD","an honorary arts degree"
"LLD","an honorary law degree"
"ScD","an honorary degree in science"
"pennant","the award given to the champion"
