"venial","warranting only temporal punishment; ""venial sin"""
"oecumenic","concerned with promoting unity among churches or religions; ""ecumenical thinking""; ""ecumenical activities""; ""the ecumenical movement"""
"ecumenical","concerned with promoting unity among churches or religions; ""ecumenical thinking""; ""ecumenical activities""; ""the ecumenical movement"""
"oecumenical","concerned with promoting unity among churches or religions; ""ecumenical thinking""; ""ecumenical activities""; ""the ecumenical movement"""
"interchurch","occurring between or among or common to different churches or denominations; ""interchurch aid""; ""interdenominational cooperation between Methodists and Presbyterians"""
"secure","free from fear or doubt; easy in mind; ""secure himself, he went out of his way to help others"""
"unafraid","free from fear or doubt; easy in mind; ""secure himself, he went out of his way to help others"""
"untroubled","free from fear or doubt; easy in mind; ""secure himself, he went out of his way to help others"""
"insecure","lacking self-confidence or assurance; ""an insecure person lacking mental stability"""
"overanxious","anxious or nervous to an excessive degree"
"unassured","lacking boldness or confidence"
"secure","free from danger or risk; ""secure from harm""; ""his fortune was secure""; ""made a secure place for himself in his field"""
"assured","characterized by certainty or security; ""a tiny but assured income""; ""we can never have completely assured lives"""
"bonded","secured by written agreement"
"guaranteed","secured by written agreement"
"secured","secured by written agreement"
"warranted","secured by written agreement"
"certified","having quality or payment or delivery guaranteed; ""certified milk""; ""certified check""; ""certified mail"""
"established","securely established; ""an established reputation""; ""holds a firm position as the country''s leading poet"""
"firm","securely established; ""an established reputation""; ""holds a firm position as the country''s leading poet"""
"promised","assured by (usually) spoken agreement; ""the promised toy""; ""the promised land"""
"safe","in safekeeping; ""your secret is safe with me"""
"sure","physically secure or dependable; ""a sure footing""; ""was on sure ground"""
"insecure","lacking in security or safety; ""his fortune was increasingly insecure""; ""an insecure future"""
"unsafe","lacking in security or safety; ""his fortune was increasingly insecure""; ""an insecure future"""
"embattled","beset with attackers or controversy or conflict; ""embattled troops""; ""an embattled governor"""
"precarious","not secure; beset with difficulties; ""a shaky marriage"""
"shaky","not secure; beset with difficulties; ""a shaky marriage"""
"uncertain","not safe from danger or mishap; ""faced an uncertain future""; ""an unsure existence"""
"unsure","not safe from danger or mishap; ""faced an uncertain future""; ""an unsure existence"""
"unguaranteed","without financial security; ""an unsecured note"""
"unsecured","without financial security; ""an unsecured note"""
"secure","not likely to fail or give way; ""the lock was secure""; ""a secure foundation""; ""a secure hold on her wrist"""
"steady","securely in position; not shaky; ""held the ladder steady"""
"tight","securely or solidly fixed in place; rigid; ""the bolts are tight"""
"tightened","made tight or tighter; ""the tightened ropes""; ""a tightened bolt"""
"insecure","not firm or firmly fixed; likely to fail or give way; ""the hinge is insecure"""
"loose","not fixed firmly or tightly; ""the bolts became loose over time""; ""a loose chair leg""; ""loose bricks"""
"precarious","dangerously insecure; ""a precarious footing on the ladder"""
"uncertain","not firm or secure; ""balancing three boxes in an uncertain pile"""
"fastened","firmly closed or secured; ""found the gate fastened""; ""a fastened seatbelt"""
"barred","firmly fastened or secured against opening; ""windows and doors were all fast""; ""a locked closet""; ""left the house properly secured"""
"bolted","firmly fastened or secured against opening; ""windows and doors were all fast""; ""a locked closet""; ""left the house properly secured"""
"fast","firmly fastened or secured against opening; ""windows and doors were all fast""; ""a locked closet""; ""left the house properly secured"""
"latched","firmly fastened or secured against opening; ""windows and doors were all fast""; ""a locked closet""; ""left the house properly secured"""
"locked","firmly fastened or secured against opening; ""windows and doors were all fast""; ""a locked closet""; ""left the house properly secured"""
"secured","firmly fastened or secured against opening; ""windows and doors were all fast""; ""a locked closet""; ""left the house properly secured"""
"pinned","fastened with a pin or staple; ""the stapled papers"""
"stapled","fastened with a pin or staple; ""the stapled papers"""
"unfastened","not closed or secured; ""the car door was unfastened""; ""unfastened seatbelts"""
"unbarred","not firmly fastened or secured; ""an unbarred door""; ""went through the unlatched gate into the street""; ""an unlocked room"""
"unbolted","not firmly fastened or secured; ""an unbarred door""; ""went through the unlatched gate into the street""; ""an unlocked room"""
"unlatched","not firmly fastened or secured; ""an unbarred door""; ""went through the unlatched gate into the street""; ""an unlocked room"""
"unlocked","not firmly fastened or secured; ""an unbarred door""; ""went through the unlatched gate into the street""; ""an unlocked room"""
"unsecured","not firmly fastened or secured; ""an unbarred door""; ""went through the unlatched gate into the street""; ""an unlocked room"""
"undone","not fastened or tied or secured; ""her blouse had come undone at the neck""; ""his shoelaces were undone"""
"insured","covered by insurance; ""an insured risk""; ""all members of the film cast and crew are insured"""
"insurable","capable of being insured or eligible to be insured"
"uninsured","not covered by insurance; ""an uninsured motorist"""
"uninsurable","not capable of being insured or not elegible to be insured"
"seductive","tending to entice into a desired action or state"
"alluring","highly attractive and able to arouse hope or desire; ""an alluring prospect""; ""her alluring smile""; ""the voice was low and beguiling""; ""difficult to say no to an enticing advertisement""; ""a tempting invitation"""
"beguiling","highly attractive and able to arouse hope or desire; ""an alluring prospect""; ""her alluring smile""; ""the voice was low and beguiling""; ""difficult to say no to an enticing advertisement""; ""a tempting invitation"""
"enticing","highly attractive and able to arouse hope or desire; ""an alluring prospect""; ""her alluring smile""; ""the voice was low and beguiling""; ""difficult to say no to an enticing advertisement""; ""a tempting invitation"""
"tempting","highly attractive and able to arouse hope or desire; ""an alluring prospect""; ""her alluring smile""; ""the voice was low and beguiling""; ""difficult to say no to an enticing advertisement""; ""a tempting invitation"""
"corrupting","seducing into corrupt practices"
"insidious","beguiling but harmful; ""insidious pleasures"""
"teasing","arousing sexual desire without intending to satisfy it; ""her lazy teasing smile"""
"unseductive","not seductive"
"uninviting","not tempting"
"untempting","not tempting"
"selfish","concerned chiefly or only with yourself; ""Selfish men were...trying to make capital for themselves out of the sacred cause of civil rights""- Maria Weston Chapman"
"egotistic","characteristic of those having an inflated idea of their own importance"
"egotistical","characteristic of those having an inflated idea of their own importance"
"narcissistic","characteristic of those having an inflated idea of their own importance"
"stingy","selfishly unwilling to share with others"
"ungenerous","selfishly unwilling to share with others"
"unselfish","not selfish"
"sharing","unselfishly willing to share with others; ""a warm and sharing friend"""
"senior","older; higher in rank; longer in length of tenure or service; ""senior officer"""
"elder","used of the older of two persons of the same name especially used to distinguish a father from his son; ""Bill Adams, Sr."""
"older","used of the older of two persons of the same name especially used to distinguish a father from his son; ""Bill Adams, Sr."""
"sr.","used of the older of two persons of the same name especially used to distinguish a father from his son; ""Bill Adams, Sr."""
"major(ip)","of the elder of two boys with the same family name; ""Jones major"""
"precedential","having precedence (especially because of longer service); ""precedential treatment for senior members of the firm"""
"ranking(a)","having a higher rank; ""superior officer"""
"superior","having a higher rank; ""superior officer"""
"junior","younger; lower in rank; shorter in length of tenure or service"
"inferior","inferior in rank or status; ""the junior faculty""; ""a lowly corporal""; ""petty officialdom""; ""a subordinate functionary"""
"lower","inferior in rank or status; ""the junior faculty""; ""a lowly corporal""; ""petty officialdom""; ""a subordinate functionary"""
"lowly","inferior in rank or status; ""the junior faculty""; ""a lowly corporal""; ""petty officialdom""; ""a subordinate functionary"""
"petty(a)","inferior in rank or status; ""the junior faculty""; ""a lowly corporal""; ""petty officialdom""; ""a subordinate functionary"""
"secondary","inferior in rank or status; ""the junior faculty""; ""a lowly corporal""; ""petty officialdom""; ""a subordinate functionary"""
"subaltern","inferior in rank or status; ""the junior faculty""; ""a lowly corporal""; ""petty officialdom""; ""a subordinate functionary"""
"subordinate","inferior in rank or status; ""the junior faculty""; ""a lowly corporal""; ""petty officialdom""; ""a subordinate functionary"""
"minor(ip)","of the younger of two boys with the same family name; ""Jones minor"""
"younger","used of the younger of two persons of the same name especially used to distinguish a son from his father; ""John Junior""; ""John Smith, Jr."""
"jr.","used of the younger of two persons of the same name especially used to distinguish a son from his father; ""John Junior""; ""John Smith, Jr."""
"sensational","causing intense interest, curiosity, or emotion"
"lurid","glaringly vivid and graphic; marked by sensationalism; ""lurid details of the accident"""
"shocking","glaringly vivid and graphic; marked by sensationalism; ""lurid details of the accident"""
"yellow(a)","typical of tabloids; ""sensational journalistic reportage of the scandal""; ""yellow journalism"""
"screaming(a)","resembling a scream in effect; ""screaming headlines""; ""screaming colors and designs"""
"unsensational","not of such character as to arouse intense interest, curiosity, or emotional reaction"
"sensible","able to feel or perceive; ""even amoeba are sensible creatures""; ""the more sensible p{ enveloping(a), shrouding(a), concealing,& (concealing by enclosing or wrapping as if in something that is not solid; ""the enveloping darkness""; ""hills concealed by shrou"
"sensitive","able to feel or perceive; ""even amoeba are sensible creatures""; ""the more sensible p{ enveloping(a), shrouding(a), concealing,& (concealing by enclosing or wrapping as if in something that is not solid; ""the enveloping darkness""; ""hills concealed by shrou"
"insensible","incapable of physical sensation; ""insensible to pain""; ""insensible earth"""
"anesthetic(a)","characterized by insensibility; ""the young girls are in a state of possession--blind and deaf and anesthetic""; ""an anesthetic state"""
"anesthetized","rendered insensible by means of anesthesia"
"anesthetised","rendered insensible by means of anesthesia"
"anaesthetized","rendered insensible by means of anesthesia"
"anaesthetised","rendered insensible by means of anesthesia"
"asleep(p)","lacking sensation; ""my foot is asleep""; ""numb with cold"""
"benumbed","lacking sensation; ""my foot is asleep""; ""numb with cold"""
"numb","lacking sensation; ""my foot is asleep""; ""numb with cold"""
"sedated","under the influence of a sedative drug"
"sensitive","responsive to physical stimuli; ""a mimosa''s leaves are sensitive to touch""; ""a sensitive voltmeter""; ""sensitive skin""; ""sensitive to light"""
"delicate","of an instrument or device; capable of registering minute differences or changes precisely; ""almost undetectable with even the most delicate instruments"""
"erogenous","sensitive to sexual stimulation"
"excitable","capable of responding to stimuli"
"irritable","capable of responding to stimuli"
"irritable","abnormally sensitive to a stimulus"
"nociceptive","caused by or in response to pain; ""a nociceptive spinal reflex"""
"reactive","tending to react to a stimulus; ""the skin of the geriatric is less reactive than that of younger persons""- Louis Tuft"
"insensitive","not responsive to physical stimuli; ""insensitive to radiation"""
"dead","devoid of physical sensation; numb; ""his gums were dead from the novocain""; ""she felt no discomfort as the dentist drilled her deadened tooth""; ""a public desensitized by continuous television coverage of atrocities"""
"deadened","devoid of physical sensation; numb; ""his gums were dead from the novocain""; ""she felt no discomfort as the dentist drilled her deadened tooth""; ""a public desensitized by continuous television coverage of atrocities"""
"desensitized","made less sensitive; ""desensitized to the allergen""; ""desensitized photographic film is less sensitive to light"""
"desensitised","made less sensitive; ""desensitized to the allergen""; ""desensitized photographic film is less sensitive to light"""
"unreactive","not tending to react to stimulation"
"unresponsive","not tending to react to stimulation"
"sensitive","having acute mental or emotional sensibility; ""sensitive to the local community and its needs"""
"alive(p)","(followed by `to'' or `of'') aware of; ""is alive to the moods of others"""
"huffy","quick to take offense"
"touchy","quick to take offense"
"oversensitive","unduly sensitive or thin-skinned"
"responsive","susceptible to the feelings or attitudes of others; ""keeping government in America responsive to the will of the people"""
"insensitive","deficient in human sensibility; not mentally or morally sensitive; ""insensitive to the needs of the patients"""
"callous","emotionally hardened; ""a callous indifference to suffering""; ""cold-blooded and indurate to public opinion"""
"indurate","emotionally hardened; ""a callous indifference to suffering""; ""cold-blooded and indurate to public opinion"""
"dead(p)","(followed by `to'') not showing human feeling or sensitivity; unresponsive; ""passersby were dead to our plea for help""; ""numb to the cries for mercy"""
"numb(p)","(followed by `to'') not showing human feeling or sensitivity; unresponsive; ""passersby were dead to our plea for help""; ""numb to the cries for mercy"""
"desensitized","rendered emotionally insensitive; ""a desensitized public indifferent to the violence in films"""
"desensitised","rendered emotionally insensitive; ""a desensitized public indifferent to the violence in films"""
"dull","blunted in responsiveness or sensibility; ""a dull gaze""; ""so exhausted she was dull to what went on about her""- Willa Cather"
"insensible(p)","(followed by `to'' or `by'') unaware of or indifferent to; ""insensible to the suffering around him"""
"unaffected(p)","(followed by `to'' or `by'') unaware of or indifferent to; ""insensible to the suffering around him"""
"soulless","lacking sensitivity or the capacity for deep feeling"
"unresponsive","not responsive; ""a government unresponsive to their demands"""
"sensitizing","making susceptible or sensitive to either physical or emotional stimuli"
"sensitising","making susceptible or sensitive to either physical or emotional stimuli"
"desensitizing","making less susceptible or sensitive to either physical or emotional stimuli"
"desensitising","making less susceptible or sensitive to either physical or emotional stimuli"
"numbing","causing numbness or insensitivity; ""the numbing effect of grief"""
"sensory","involving or derived from the senses; ""sensory experience""; ""sensory channels"""
"sensorial","involving or derived from the senses; ""sensory experience""; ""sensory channels"""
"extrasensory","seemingly outside normal sensory channels"
"paranormal","seemingly outside normal sensory channels"
"clairvoyant","perceiving things beyond the natural range of the senses"
"telegnostic","obtaining knowledge of distant events allegedly without use of normal sensory mechanisms"
"telepathic","communicating without apparent physical signals"
"sent","caused or enabled to go or be conveyed or transmitted"
"conveyed","sent or carried from one place to another; ""during battle, messages conveyed by carrier pigeon got through more often than those sent by plane"""
"dispatched","sent off or away; ""the dispatched messenger was has hardly out of sight before she wished call him back"""
"transmitted","sent electronically as by wire or radio; ""the transmitted signals"""
"unsent","not dispatched or transmitted; ""the letter remained unwritten and unsent"""
"separate","independent; not united or joint; ""a problem consisting of two separate issues""; ""they went their separate ways""; ""formed a separate church"""
"abstracted","taken out of or separated from; ""possibility is...achievability, abstracted from achievement""- A.N.Whitehead"
"removed","taken out of or separated from; ""possibility is...achievability, abstracted from achievement""- A.N.Whitehead"
"apart(p)","having characteristics not shared by others; ""scientists felt they were a group apart""- Vannever Bush"
"asunder(p)","widely separated especially in space; ""as wide asunder as pole from pole"""
"detached","being or feeling set or kept apart from others; ""she felt detached from the group""; ""could not remain the isolated figure he had been""- Sherwood Anderson; ""thought of herself as alone and separated from the others""; ""had a set-apart feeling"""
"isolated","being or feeling set or kept apart from others; ""she felt detached from the group""; ""could not remain the isolated figure he had been""- Sherwood Anderson; ""thought of herself as alone and separated from the others""; ""had a set-apart feeling"""
"separated","being or feeling set or kept apart from others; ""she felt detached from the group""; ""could not remain the isolated figure he had been""- Sherwood Anderson; ""thought of herself as alone and separated from the others""; ""had a set-apart feeling"""
"discrete","constituting a separate entity or part; ""a government with three discrete divisions""; ""on two distinct occasions"""
"distinct","constituting a separate entity or part; ""a government with three discrete divisions""; ""on two distinct occasions"""
"disjoint","having no elements in common"
"disjunct","marked by separation of or from usually contiguous elements; ""little isolated worlds, as abruptly disjunct and unexpected as a palm-shaded well in the Sahara""- Scientific Monthly"
"isolated","marked by separation of or from usually contiguous elements; ""little isolated worlds, as abruptly disjunct and unexpected as a palm-shaded well in the Sahara""- Scientific Monthly"
"isolable","capable of being isolated or disjoined"
"joint","united or combined; ""a joint session of Congress""; ""joint owners"""
"associated","joined in some kind of relationship (as a colleague or ally or companion etc.); ""a cabal of associated lawyers"""
"clannish","characteristic of a clan especially in being unified; ""clannish loyalty"""
"combined","involving the joint activity of two or more; ""the attack was met by the combined strength of two divisions""; ""concerted action""; ""the conjunct influence of fire and strong dring""; ""the conjunctive focus of political opposition""; ""a cooperative effort""; ""a"
"concerted","involving the joint activity of two or more; ""the attack was met by the combined strength of two divisions""; ""concerted action""; ""the conjunct influence of fire and strong dring""; ""the conjunctive focus of political opposition""; ""a cooperative effort""; ""a"
"conjunct","involving the joint activity of two or more; ""the attack was met by the combined strength of two divisions""; ""concerted action""; ""the conjunct influence of fire and strong dring""; ""the conjunctive focus of political opposition""; ""a cooperative effort""; ""a"
"conjunctive","involving the joint activity of two or more; ""the attack was met by the combined strength of two divisions""; ""concerted action""; ""the conjunct influence of fire and strong dring""; ""the conjunctive focus of political opposition""; ""a cooperative effort""; ""a"
"cooperative","involving the joint activity of two or more; ""the attack was met by the combined strength of two divisions""; ""concerted action""; ""the conjunct influence of fire and strong dring""; ""the conjunctive focus of political opposition""; ""a cooperative effort""; ""a"
"united","involving the joint activity of two or more; ""the attack was met by the combined strength of two divisions""; ""concerted action""; ""the conjunct influence of fire and strong dring""; ""the conjunctive focus of political opposition""; ""a cooperative effort""; ""a"
"conjoined","consisting of two or more associated entities; ""the interplay of these conjoined yet opposed factors""; ""social order and prosperity, the conjoint aims of government""- J.K.Fairbank"
"conjoint","consisting of two or more associated entities; ""the interplay of these conjoined yet opposed factors""; ""social order and prosperity, the conjoint aims of government""- J.K.Fairbank"
"corporate","done by or characteristic of individuals acting together; ""a joint identity""; ""the collective mind""; ""the corporate good"""
"collective","done by or characteristic of individuals acting together; ""a joint identity""; ""the collective mind""; ""the corporate good"""
"cosignatory","signing jointly with others"
"sharing","sharing equally with another or others"
"sanitary","free from filth and pathogens; ""sanitary conditions for preparing food""; ""a sanitary washroom"""
"healthful","free from filth and pathogens; ""sanitary conditions for preparing food""; ""a sanitary washroom"""
"hygienic","tending to promote or preserve health; ""hygienic habits like using disposable tissues""; ""hygienic surroundings with plenty of fresh air"""
"hygienical","tending to promote or preserve health; ""hygienic habits like using disposable tissues""; ""hygienic surroundings with plenty of fresh air"""
"unsanitary","not sanitary or healthful; ""unsanitary open sewers""; ""grim and unsanitary conditions"""
"insanitary","not sanitary or healthful; ""unsanitary open sewers""; ""grim and unsanitary conditions"""
"unhealthful","not sanitary or healthful; ""unsanitary open sewers""; ""grim and unsanitary conditions"""
"unhygienic","so unclean as to be a likely cause of disease; ""pathetic dogs kept in small unhygienic cages"""
"septic","containing or resulting from disease-causing organisms; ""a septic sore throat""; ""a septic environment""; ""septic sewage"""
"abscessed","infected and filled with pus; ""an abscessed tooth"""
"contaminated","contaminated with infecting organisms; ""dirty wounds""; ""obliged to go into infected rooms""- Jane Austen"
"dirty","contaminated with infecting organisms; ""dirty wounds""; ""obliged to go into infected rooms""- Jane Austen"
"infected","contaminated with infecting organisms; ""dirty wounds""; ""obliged to go into infected rooms""- Jane Austen"
"pestiferous","contaminated with infecting organisms; ""dirty wounds""; ""obliged to go into infected rooms""- Jane Austen"
"contaminative","tending to contaminate"
"infected","having undergone infection; ""a purulent wound"""
"purulent","having undergone infection; ""a purulent wound"""
"pussy","having undergone infection; ""a purulent wound"""
"putrid","having undergone infection; ""a purulent wound"""
"infectious","caused by infection or capable of causing infection; ""viruses and other infective agents""; ""a carrier remains infective without himself showing signs of the disease"""
"infective","caused by infection or capable of causing infection; ""viruses and other infective agents""; ""a carrier remains infective without himself showing signs of the disease"""
"putrefactive","causing or promoting bacterial putrefaction"
"putrefacient","causing or promoting bacterial putrefaction"
"septicemic","characteristic of septicemia; ""a septicemic temperature curve"""
"antiseptic","thoroughly clean and free of or destructive to disease-causing organisms; ""doctors in antiseptic green coats""; ""the antiseptic effect of alcohol""; ""it is said that marjoram has antiseptic qualities"""
"aseptic","free of or using methods to keep free of pathological microorganisms; ""a sterile operating area""; ""aseptic surgical instruments""; ""aseptic surgical techniques"""
"sterile","free of or using methods to keep free of pathological microorganisms; ""a sterile operating area""; ""aseptic surgical instruments""; ""aseptic surgical techniques"""
"bactericidal","preventing infection by inhibiting the growth or action of microorganisms"
"disinfectant","preventing infection by inhibiting the growth or action of microorganisms"
"germicidal","preventing infection by inhibiting the growth or action of microorganisms"
"cleansing","acting like an antiseptic"
"purifying","acting like an antiseptic"
"nonpurulent","not containing pus"
"uninfected","free from sepsis or infection; ""a clean (or uninfected) wound"""
"clean","free from sepsis or infection; ""a clean (or uninfected) wound"""
"germfree","free from germs or pathogenic organisms; sterile; ""a germfree environment"""
"axenic","(of experimental animals) raised under sterile conditions; ""axenic conditions""; ""germfree animals"""
"antiseptic","made free from live bacteria or other microorganisms; ""sterilized instruments"""
"sterilized","made free from live bacteria or other microorganisms; ""sterilized instruments"""
"sterilised","made free from live bacteria or other microorganisms; ""sterilized instruments"""
"germy","full of germs or pathological microorganisms; ""the water in New York harbor is oily and dirty and germy"""
"unsterilized","not sterilized"
"unsterilised","not sterilized"
"adulterating","making impure or corrupt by adding extraneous materials; ""the adulterating effect of extraneous materials"""
"adulterant","making impure or corrupt by adding extraneous materials; ""the adulterating effect of extraneous materials"""
"extraneous","not belonging to that in which it is contained; introduced from an outside source; ""water free of extraneous matter""; ""foreign particles in milk"""
"foreign","not belonging to that in which it is contained; introduced from an outside source; ""water free of extraneous matter""; ""foreign particles in milk"""
"purifying","freeing from noxious matter; ""filtration is a purifying agent"""
"ablutionary","cleansing the body by washing; especially ritual washing of e.g. hands; ""ablutionary rituals"""
"cleansing","cleansing the body by washing; especially ritual washing of e.g. hands; ""ablutionary rituals"""
"antiseptic","freeing from error or corruption; ""the antiseptic effect of sturdy criticism"""
"detergent","having cleansing power"
"detersive","having cleansing power"
"serious","concerned with work or important matters rather than play or trivialities; ""a serious student of history""; ""a serious attempt to learn to ski""; ""gave me a serious look""; ""a serious young man""; ""are you serious or joking?""; ""Don''t be so serious!"""
"capital","punishable by death; ""a capital offense"""
"earnest","characterized by a firm and humorless belief in the validity of your opinions; ""both sides were deeply in earnest, even passionate""; ""an entirely sincere and cruel tyrant""; ""a film with a solemn social message"""
"sincere","characterized by a firm and humorless belief in the validity of your opinions; ""both sides were deeply in earnest, even passionate""; ""an entirely sincere and cruel tyrant""; ""a film with a solemn social message"""
"solemn","characterized by a firm and humorless belief in the validity of your opinions; ""both sides were deeply in earnest, even passionate""; ""an entirely sincere and cruel tyrant""; ""a film with a solemn social message"""
"grave","dignified and somber in manner or character and committed to keeping promises; ""a grave God-fearing man""; ""a quiet sedate nature""; ""as sober as a judge""; ""a solemn promise""; ""the judge was solemn as he pronounced sentence"""
"sedate","dignified and somber in manner or character and committed to keeping promises; ""a grave God-fearing man""; ""a quiet sedate nature""; ""as sober as a judge""; ""a solemn promise""; ""the judge was solemn as he pronounced sentence"""
"sober","dignified and somber in manner or character and committed to keeping promises; ""a grave God-fearing man""; ""a quiet sedate nature""; ""as sober as a judge""; ""a solemn promise""; ""the judge was solemn as he pronounced sentence"""
"solemn","dignified and somber in manner or character and committed to keeping promises; ""a grave God-fearing man""; ""a quiet sedate nature""; ""as sober as a judge""; ""a solemn promise""; ""the judge was solemn as he pronounced sentence"""
"overserious","excessively serious"
"real","not to be taken lightly; ""statistics demonstrate that poverty and unemployment are very real problems""; ""to the man sleeping regularly in doorways homelessness is real"""
"sensible","acting with or showing thought and good sense; ""a sensible young man"""
"thoughtful","acting with or showing thought and good sense; ""a sensible young man"""
"sobering","tending to make sober or more serious; ""the news had a sobering effect"""
"frivolous","not serious in content or attitude or behavior; ""a frivolous novel""; ""a frivolous remark""; ""a frivolous young woman"""
"airheaded","lacking seriousness; given to frivolity; ""a dizzy blonde""; ""light-headed teenagers""; ""silly giggles"""
"dizzy","lacking seriousness; given to frivolity; ""a dizzy blonde""; ""light-headed teenagers""; ""silly giggles"""
"giddy","lacking seriousness; given to frivolity; ""a dizzy blonde""; ""light-headed teenagers""; ""silly giggles"""
"lightheaded","lacking seriousness; given to frivolity; ""a dizzy blonde""; ""light-headed teenagers""; ""silly giggles"""
"silly","lacking seriousness; given to frivolity; ""a dizzy blonde""; ""light-headed teenagers""; ""silly giggles"""
"flighty","irresponsibly frivolous; ""flighty young girls"""
"flyaway","irresponsibly frivolous; ""flighty young girls"""
"flippant","showing inappropriate levity"
"idle","silly or trivial; ""idle pleasure""; ""light banter""; ""light idle chatter"""
"light","silly or trivial; ""idle pleasure""; ""light banter""; ""light idle chatter"""
"light","intended primarily as entertainment; not serious or profound; ""light verse""; ""a light comedy"""
"trivial","concerned with trivialities; ""a trivial young woman""; ""a trivial mind"""
"playful","full of fun and high spirits; ""playful children sjust let loose from school"""
"coltish","given to merry frolicking; ""frolicsome students celebrated their graduation with parties and practical jokes"""
"frolicsome","given to merry frolicking; ""frolicsome students celebrated their graduation with parties and practical jokes"""
"frolicky","given to merry frolicking; ""frolicsome students celebrated their graduation with parties and practical jokes"""
"rollicking","given to merry frolicking; ""frolicsome students celebrated their graduation with parties and practical jokes"""
"sportive","given to merry frolicking; ""frolicsome students celebrated their graduation with parties and practical jokes"""
"devilish","playful in an appealingly bold way; ""a roguish grin"""
"rascally","playful in an appealingly bold way; ""a roguish grin"""
"roguish","playful in an appealingly bold way; ""a roguish grin"""
"elfin","usually good-naturedly mischievous; ""perpetrated a practical joke with elfin delight""; ""elvish tricks"""
"elfish","usually good-naturedly mischievous; ""perpetrated a practical joke with elfin delight""; ""elvish tricks"""
"elvish","usually good-naturedly mischievous; ""perpetrated a practical joke with elfin delight""; ""elvish tricks"""
"impish","naughtily or annoyingly playful; ""teasing and worrying with impish laughter"""
"implike","naughtily or annoyingly playful; ""teasing and worrying with impish laughter"""
"mischievous","naughtily or annoyingly playful; ""teasing and worrying with impish laughter"""
"pixilated","naughtily or annoyingly playful; ""teasing and worrying with impish laughter"""
"prankish","naughtily or annoyingly playful; ""teasing and worrying with impish laughter"""
"puckish","naughtily or annoyingly playful; ""teasing and worrying with impish laughter"""
"kittenish","playful like a lively kitten"
"frisky","playful like a lively kitten"
"mocking","playfully vexing (especially by ridicule); ""his face wore a somewhat quizzical almost impertinent air""- Lawrence Durrell"
"teasing","playfully vexing (especially by ridicule); ""his face wore a somewhat quizzical almost impertinent air""- Lawrence Durrell"
"quizzical","playfully vexing (especially by ridicule); ""his face wore a somewhat quizzical almost impertinent air""- Lawrence Durrell"
"unplayful","completely lacking in playfulness"
"serious","completely lacking in playfulness"
"sober","completely lacking in playfulness"
"selected","chosen in preference to another"
"chosen","preferred above all others; ""the chosen few""; ""her chosen abode"""
"designated","selected or named for a duty; ""designated hitter"""
"elect","selected as the best; ""an elect circle of artists""; ""elite colleges"""
"elite","selected as the best; ""an elect circle of artists""; ""elite colleges"""
"unselected","not selected"
"random","taken haphazardly; ""a random choice"""
"serviceable","ready for service or able to give long service; ""serviceable equipment""; ""heavy serviceable fabrics"""
"durable","serviceable for a long time; ""durable denim jeans"""
"fixable","capable of being made ready for service"
"repairable","capable of being made ready for service"
"maintained","made ready for service"
"repaired","made ready for service"
"serviced","made ready for service"
"functional","fit or ready for use or service; ""the toaster was still functional even after being dropped""; ""the lawnmower is a bit rusty but still usable""; ""an operational aircraft""; ""the dishwasher is now in working order"""
"usable","fit or ready for use or service; ""the toaster was still functional even after being dropped""; ""the lawnmower is a bit rusty but still usable""; ""an operational aircraft""; ""the dishwasher is now in working order"""
"useable","fit or ready for use or service; ""the toaster was still functional even after being dropped""; ""the lawnmower is a bit rusty but still usable""; ""an operational aircraft""; ""the dishwasher is now in working order"""
"operable","fit or ready for use or service; ""the toaster was still functional even after being dropped""; ""the lawnmower is a bit rusty but still usable""; ""an operational aircraft""; ""the dishwasher is now in working order"""
"operational","fit or ready for use or service; ""the toaster was still functional even after being dropped""; ""the lawnmower is a bit rusty but still usable""; ""an operational aircraft""; ""the dishwasher is now in working order"""
"unserviceable","not ready for service; ""unserviceable equipment may be replaced"""
"inoperable","not able to perform its normal function"
"unusable","not able to perform its normal function"
"nondurable","not durable"
"unrepaired","unserviceable because necessary repairs have not been made"
"retired","(of a ship) withdrawn from active service; ""the ship was placed out of service after the war"""
"resident","living in a particular place; ""resident aliens"""
"nonresident","not living in a particular place or owned by permanent residents; ""nonresident students who commute to classes""; ""nonresident real estate"""
"settled","established in a desired position or place; not moving about; ""nomads...absorbed among the settled people""; ""settled areas""; ""I don''t feel entirely settled here""; ""the advent of settled civilization"""
"based(p)","having a base of operations; ""a company based in Atlanta"""
"located","situated in a particular spot or position; ""valuable centrally located urban land""; ""strategically placed artillery""; ""a house set on a hilltop""; ""nicely situated on a quiet riverbank"""
"placed","situated in a particular spot or position; ""valuable centrally located urban land""; ""strategically placed artillery""; ""a house set on a hilltop""; ""nicely situated on a quiet riverbank"""
"set","situated in a particular spot or position; ""valuable centrally located urban land""; ""strategically placed artillery""; ""a house set on a hilltop""; ""nicely situated on a quiet riverbank"""
"situated","situated in a particular spot or position; ""valuable centrally located urban land""; ""strategically placed artillery""; ""a house set on a hilltop""; ""nicely situated on a quiet riverbank"""
"nonnomadic","not nomadic or wandering; ""nonnomadic people"""
"relocated","settled in a new location"
"resettled","settled in a new location"
"unsettled","not settled or established; ""an unsettled lifestyle"""
"aimless","continually changing especially as from one abode or occupation to another; ""a drifting double-dealer""; ""the floating population""; ""vagrant hippies of the sixties"""
