"Colossian","a native or inhabitant of the city of Colossae in ancient Phrygia"
"colossus","a person of exceptional importance and reputation"
"behemoth","a person of exceptional importance and reputation"
"giant","a person of exceptional importance and reputation"
"heavyweight","a person of exceptional importance and reputation"
"titan","a person of exceptional importance and reputation"
"columnist","a journalist who writes editorials"
"editorialist","a journalist who writes editorials"
"combatant","someone who fights (or is fighting)"
"battler","someone who fights (or is fighting)"
"belligerent","someone who fights (or is fighting)"
"fighter","someone who fights (or is fighting)"
"scrapper","someone who fights (or is fighting)"
"comedian","a professional performer who tells jokes and performs comical acts"
"comic","a professional performer who tells jokes and performs comical acts"
"comedian","an actor in a comedy"
"comedienne","a female comedian"
"comedienne","a female actor in a comedy"
"comer","someone with a promising future"
"ianfu","a woman forced into prostitution for Japanese servicemen during World War II; ""she wrote a book about her harsh experiences as a comfort woman"""
"commander","someone in an official position of authority who can command or control others"
"commander","a commissioned naval officer who ranks above a lieutenant commander and below a captain"
"generalissimo","the officer who holds the supreme command; ""in the U.S. the president is the commander in chief"""
"commandant","an officer in command of a military unit"
"commander","an officer in command of a military unit"
"commando","a member of a military unit trained as shock troops for hit-and-run raids"
"ranger","a member of a military unit trained as shock troops for hit-and-run raids"
"commentator","a writer who reports and analyzes events of the day"
"reviewer","a writer who reports and analyzes events of the day"
"commissar","an official of the Communist Party who was assigned to teach party principles to a military unit"
"commissioner","a government administrator"
"commissioner","a member of a commission"
"committeeman","a man who is a member of committee"
"councilman","a man who is a council member"
"councillor","a member of a council"
"councilwoman","a woman who is a council member"
"commodore","a commissioned naval officer who ranks above a captain and below a rear admiral; the lowest grade of admiral"
"communicant","a person entitled to receive Communion"
"communist","a socialist who advocates communism"
"commie","a socialist who advocates communism"
"Communist","a member of the communist party"
"commuter","someone who travels regularly from home in a suburb to work in a city"
"companion","a person who is frequently in the company of another; ""drinking companions""; ""comrades in arms"""
"comrade","a person who is frequently in the company of another; ""drinking companions""; ""comrades in arms"""
"fellow","a person who is frequently in the company of another; ""drinking companions""; ""comrades in arms"""
"familiar","a person who is frequently in the company of another; ""drinking companions""; ""comrades in arms"""
"associate","a person who is frequently in the company of another; ""drinking companions""; ""comrades in arms"""
"companion","a traveler who accompanies you"
"compere","British term for someone who introduces television acts or cabarets etc"
"complexifier","someone makes things complex"
"composer","someone who composes music as a profession"
"compositor","one who sets written material into type"
"typesetter","one who sets written material into type"
"setter","one who sets written material into type"
"typographer","one who sets written material into type"
"compulsive","a person with a compulsive disposition; someone who feels compelled to do certain things"
"Comrade","a fellow member of the Communist Party"
"concessioner","someone who holds or operates a concession"
"conchologist","a collector and student of mollusc shells"
"concierge","a French caretaker of apartments or a hotel; lives on the premises and oversees people entering and leaving and handles mail and acts as janitor or porter"
"conciliator","someone who tries to bring peace"
"pacifier","someone who tries to bring peace"
"peacemaker","someone who tries to bring peace"
"reconciler","someone who tries to bring peace"
"concubine","a woman who cohabits with an important man"
"courtesan","a woman who cohabits with an important man"
"doxy","a woman who cohabits with an important man"
"odalisque","a woman who cohabits with an important man"
"paramour","a woman who cohabits with an important man"
"conductor","the person who leads a musical group"
"director","the person who leads a musical group"
"conductor","the person who collects fares on a public conveyance"
"conditioner","a trainer of athletes"
"conductress","a woman conductor"
"confectioner","someone who makes candies and other sweets"
"candymaker","someone who makes candies and other sweets"
"confederate","someone who assists in a plot"
"collaborator","someone who assists in a plot"
"henchman","someone who assists in a plot"
"Confederate","a supporter of the Confederate States of America"
"conferee","a member of a conference"
"conferee","a person on whom something is bestowed; ""six honorary were conferred; the conferees were..."""
"confessor","a priest who hears confession and gives absolution"
"confessor","someone who confesses (discloses information damaging to themselves)"
"confidant","someone to whom private matters are confided"
"intimate","someone to whom private matters are confided"
"confidante","a female confidant"
"swindler","a person who swindles you by means of deception or fraud"
"chiseller","a person who swindles you by means of deception or fraud"
"chiseler","a person who swindles you by means of deception or fraud"
"gouger","a person who swindles you by means of deception or fraud"
"scammer","a person who swindles you by means of deception or fraud"
"grifter","a person who swindles you by means of deception or fraud"
"sharper","a person who swindles you by means of deception or fraud"
"sharpie","a person who swindles you by means of deception or fraud"
"sharpy","a person who swindles you by means of deception or fraud"
"Confucian","a believer in the teachings of Confucius"
"congressman","a member of the United States House of Representatives"
"congresswoman","a member of the United States House of Representatives"
"rep","informal abbreviation of `representative''"
"connection","a supplier (especially of narcotics)"
"connection","(usually plural) a person who is influential and to whom you are connected in some way (as by family or friendship); ""he has powerful connections"""
"connoisseur","an expert able to appreciate a field; especially in the fine arts"
"cognoscenti","an expert able to appreciate a field; especially in the fine arts"
"conqueror","someone who is victorious by force of arms"
"vanquisher","someone who is victorious by force of arms"
"conquistador","an adventurer (especially one who led the Spanish conquest of Mexico and Peru in the 16th century)"
"conservative","a person who has conservative ideas or opinions"
"conformist","someone who conforms to established standards of conduct (especially in religious matters)"
"nonconformist","someone who refuses to conform to established standards of conduct"
"recusant","someone who refuses to conform to established standards of conduct"
"Nonconformist","a Protestant in England who is not a member of the Church of England"
"chapelgoer","a Protestant in England who is not a member of the Church of England"
"Anglican","a Protestant who is a follower of Anglicanism"
"hoodoo","a practitioner of voodoo"
"consignee","the person to whom merchandise is delivered over"
"consigner","the person who delivers over or commits merchandise"
"consignor","the person who delivers over or commits merchandise"
"consort","the husband or wife of a reigning monarch"
"conspirator","a member of a conspiracy"
"coconspirator","a member of a conspiracy"
"plotter","a member of a conspiracy"
"machinator","a member of a conspiracy"
"constable","a lawman with less authority and jurisdiction than a sheriff"
"constable","a police officer of the lowest rank"
"consul","a diplomat appointed by a government to protect its commercial interests and help its citizens in a foreign country"
"consumptive","a person with pulmonary tuberculosis"
"lunger","a person with pulmonary tuberculosis"
"contact","a person who is in a position to give you special assistance; ""he used his business contacts to get an introduction to the governor"""
"middleman","a person who is in a position to give you special assistance; ""he used his business contacts to get an introduction to the governor"""
"contemplative","a person devoted to the contemplative life"
"contemporary","a person of nearly the same age as another"
"coeval","a person of nearly the same age as another"
"contortionist","an acrobat able to twist into unusual positions"
"contractor","someone (a person or firm) who contracts to build things"
"contractor","(law) a party to a contract"
"contractor","the bridge player in contract bridge who wins the bidding and can declare which suit is to be trumps"
"declarer","the bridge player in contract bridge who wins the bidding and can declare which suit is to be trumps"
"contralto","a woman singer having a contralto voice"
"contributor","a writer whose work is published in a newspaper or magazine or as part of a book"
"convalescent","a person who is recovering from illness"
"convener","the member of a group whose duty it is to convene meetings"
"conventioneer","someone who attends a convention"
"schmoozer","someone skilled at conversation"
"convert","a person who has been converted to another religious or political belief"
"conveyancer","a lawyer who specializes in the business of conveying properties"
"conveyer","a person who conveys (carries or transmits); ""the conveyer of good tidings"""
"conveyor","a person who conveys (carries or transmits); ""the conveyer of good tidings"""
"convict","a person serving a sentence in a jail or prison"
"con","a person serving a sentence in a jail or prison"
"inmate","a person serving a sentence in a jail or prison"
"jailbird","a person serving a sentence in a jail or prison"
"gaolbird","a person serving a sentence in a jail or prison"
"convict","a person who has been convicted of a criminal offence"
"cook","someone who cooks food"
"chef","a professional cook"
"cookie","the cook on a ranch or at a camp"
"cooky","the cook on a ranch or at a camp"
"cooper","a craftsman who makes or repairs wooden barrels or tubs"
"coordinator","someone whose task is to see that work goes harmoniously"
"copartner","a joint partner (as in a business enterprise)"
"copilot","a relief pilot on an airplane"
"coppersmith","someone who makes articles from copper"
"copycat","someone who copies the words or behavior of another"
"imitator","someone who copies the words or behavior of another"
"emulator","someone who copies the words or behavior of another"
"ape","someone who copies the words or behavior of another"
"aper","someone who copies the words or behavior of another"
"copyreader","an editor who prepares text for publication"
"copyist","someone employed to make written copies of documents and manuscripts"
"scribe","someone employed to make written copies of documents and manuscripts"
"scrivener","someone employed to make written copies of documents and manuscripts"
"copywriter","a person employed to write advertising or publicity copy"
"coquette","a seductive woman who uses her sex appeal to exploit men"
"flirt","a seductive woman who uses her sex appeal to exploit men"
"vamp","a seductive woman who uses her sex appeal to exploit men"
"vamper","a seductive woman who uses her sex appeal to exploit men"
"minx","a seductive woman who uses her sex appeal to exploit men"
"tease","a seductive woman who uses her sex appeal to exploit men"
"prickteaser","a seductive woman who uses her sex appeal to exploit men"
"coreligionist","someone having the same religion as another person"
"corespondent","the codefendant charged with adultery with the estranged spouse in a divorce proceeding"
"cornerback","a defensive football player stationed outside the linebackers"
"cornhusker","a worker who husks corn"
"coroner","a public official who investigates by inquest any death not due to natural causes"
"corporal","a noncommissioned officer in the army or airforce or marines"
"correspondent","someone who communicates by means of letters"
"correspondent","a journalist employed to provide news stories for newspapers or broadcast media"
"newspaperman","a journalist employed to provide news stories for newspapers or broadcast media"
"newswriter","a journalist employed to provide news stories for newspapers or broadcast media"
"pressman","a journalist employed to provide news stories for newspapers or broadcast media"
"corsair","a pirate along the Barbary coast"
"cosmetician","someone who sells or applies cosmetics"
"cosmetologist","an expert in the use of cosmetics"
"cosmopolitan","a sophisticated person who has travelled in many countries"
"cosmopolite","a sophisticated person who has travelled in many countries"
"Cossack","a member of a Slavic people living in southern European Russia and Ukraine and adjacent parts of Asia and noted for their horsemanship and military skill; they formed an elite cavalry corps in czarist Russia"
"costermonger","a hawker of fruit and vegetables from a barrow"
"costumier","someone who designs or supplies costumes (as for a play or masquerade)"
"costumer","someone who designs or supplies costumes (as for a play or masquerade)"
"cotenant","one of two or more tenants holding title to the same property"
"cottager","someone who lives in a cottage"
"cotter","a medieval English villein"
"cottier","a medieval English villein"
"cotter","a peasant farmer in the Scottish highlands"
"cottar","a peasant farmer in the Scottish highlands"
"counselor","some who gives advice about problems"
"counsellor","some who gives advice about problems"
"counselor","someone who has supervisory duties at a summer camp"
"counsellor","someone who has supervisory duties at a summer camp"
"count","a nobleman (in various countries) having rank equal to a British earl"
"counter","a person who counts things"
"counterperson","someone who attends a counter (as in a diner)"
"counterwoman","someone who attends a counter (as in a diner)"
"counterman","someone who attends a counter (as in a diner)"
"counterspy","a spy who works against enemy espionage"
"mole","a spy who works against enemy espionage"
"countertenor","a male singer with a voice above that of a tenor"
"countess","female equivalent of a count or earl"
"compatriot","a person from your own country"
"compromiser","a negotiator willing to compromise; ""Henry Clay was known as the Great Compromiser"""
"countryman","a man from your own country"
"countrywoman","a woman from your own country"
"countryman","a man who lives in the country and has country ways"
"countrywoman","a woman who lives in the country and has country ways"
"courtier","an attendant at the court of a sovereign"
"cousin","the child of your aunt or uncle"
"couturier","someone who designs clothing"
"designer","someone who designs clothing"
"lovely","a very pretty girl who works as a photographer''s model"
"cow","a large unpleasant woman"
"cowboy","a hired hand who tends cattle and performs other duties on horseback"
"cowpuncher","a hired hand who tends cattle and performs other duties on horseback"
"puncher","a hired hand who tends cattle and performs other duties on horseback"
"cowman","a hired hand who tends cattle and performs other duties on horseback"
"cattleman","a hired hand who tends cattle and performs other duties on horseback"
"cowpoke","a hired hand who tends cattle and performs other duties on horseback"
"cowhand","a hired hand who tends cattle and performs other duties on horseback"
"cowherd","a hired hand who tends cattle and performs other duties on horseback"
"cowboy","someone who is reckless or irresponsible (especially in driving vehicles)"
"cowboy","a performer who gives exhibitions of riding and roping and bulldogging"
"vaquero","local names for a cowboy (`vaquero'' is used especially in southwestern and central Texas and `buckaroo'' is used especially in California)"
"buckaroo","local names for a cowboy (`vaquero'' is used especially in southwestern and central Texas and `buckaroo'' is used especially in California)"
"buckeroo","local names for a cowboy (`vaquero'' is used especially in southwestern and central Texas and `buckaroo'' is used especially in California)"
"cowgirl","a woman cowboy"
"coxcomb","a conceited dandy who is overly impressed by his own accomplishments"
"cockscomb","a conceited dandy who is overly impressed by his own accomplishments"
"coxswain","the helmsman of a ship''s boat or a racing crew"
"cox","the helmsman of a ship''s boat or a racing crew"
"coyote","a forest fire fighter who is sent to battle remote and severe forest fires (often for days at a time)"
"coyote","someone who smuggles illegal immigrants into the United States (usually acress the Mexican border)"
"crab","a quarrelsome grouch"
"binger","someone addicted to crack cocaine"
"cracker","a programmer who `cracks'' (gains unauthorized access to) computers, typically to do malicious things; ""crackers are often mistakenly called hackers"""
"crackpot","a whimsically eccentric person"
"crank","a whimsically eccentric person"
"nut","a whimsically eccentric person"
"nutcase","a whimsically eccentric person"
"fruitcake","a whimsically eccentric person"
"screwball","a whimsically eccentric person"
"craftsman","a skilled worker who practices some trade or handicraft"
"artisan","a skilled worker who practices some trade or handicraft"
"journeyman","a skilled worker who practices some trade or handicraft"
"artificer","a skilled worker who practices some trade or handicraft"
"craftsman","a creator of great skill in the manual arts; ""the jewelry was made by internationally famous craftsmen"""
"crafter","a creator of great skill in the manual arts; ""the jewelry was made by internationally famous craftsmen"""
"craftsman","a professional whose work is consistently of high quality; ""as an actor he was a consummate craftsman"""
"crammer","a teacher who is paid to cram students for examinations"
"crammer","a student who crams"
"crapshooter","a gambler who plays the game of craps"
"crawler","a person who crawls or creeps along the ground"
"creeper","a person who crawls or creeps along the ground"
"crazy","someone deranged and possibly dangerous"
"loony","someone deranged and possibly dangerous"
"looney","someone deranged and possibly dangerous"
"weirdo","someone deranged and possibly dangerous"
"creature","a human being; `wight'' is an archaic term"
"wight","a human being; `wight'' is an archaic term"
"creature","a person who is controlled by others and is used to perform unpleasant or dishonest tasks for someone else"
"tool","a person who is controlled by others and is used to perform unpleasant or dishonest tasks for someone else"
"puppet","a person who is controlled by others and is used to perform unpleasant or dishonest tasks for someone else"
"creditor","a person to whom money is owed by a debtor; someone to whom an obligation exists"
"creep","someone unpleasantly strange or eccentric"
"weirdo","someone unpleasantly strange or eccentric"
"weirdie","someone unpleasantly strange or eccentric"
"weirdy","someone unpleasantly strange or eccentric"
"spook","someone unpleasantly strange or eccentric"
"crewman","a member of a work crew"
"crewman","a member of a flight crew"
"cricketer","an athlete who plays cricket"
"crier","a peddler who shouts to advertises the goods he sells"
"criminal","someone who has committed (or been legally convicted of) a crime"
"felon","someone who has committed (or been legally convicted of) a crime"
"crook","someone who has committed (or been legally convicted of) a crime"
"outlaw","someone who has committed (or been legally convicted of) a crime"
"malefactor","someone who has committed (or been legally convicted of) a crime"
"criminologist","a specialist in criminology"
"crimp","someone who tricks or coerces men into service as sailors or soldiers"
"crimper","someone who tricks or coerces men into service as sailors or soldiers"
"criollo","a Spanish American of pure European stock (usually Spanish); ""Mexico is a country of mestizos, criollos, and indigenes"""
"cripple","someone whose legs are disabled"
"critic","someone who frequently finds fault or makes harsh and unfair judgments"
"critic","anyone who expresses a reasoned judgment of something"
"critic","a person who is professionally engaged in the analysis and interpretation of works of art"
"Croesus","a very wealthy man"
"crofter","an owner or tenant of a small farm in Great Britain"
"crooner","a singer of popular ballads"
"balladeer","a singer of popular ballads"
"crossbencher","a member of the House of Commons who does not vote regularly with either the Government or the Opposition"
"crossover","a voter who is registered as a member of one political party but who votes in the primary of another party"
"croupier","someone who collects and pays bets at a gaming table"
"crusader","a warrior who engages in a holy war; ""the crusaders tried to recapture the Holy Land from the Muslims"""
"cryptanalyst","decoder skilled in the analysis of codes and cryptograms"
"cryptographer","decoder skilled in the analysis of codes and cryptograms"
"cryptologist","decoder skilled in the analysis of codes and cryptograms"
"cub","an awkward and inexperienced youth"
"greenhorn","an awkward and inexperienced youth"
"rookie","an awkward and inexperienced youth"
"cubist","an artist who adheres to the principles of cubism"
"cuckold","a man whose wife committed adultery"
"cuirassier","a cavalryman equipped with a cuirass"
"cultist","a member of a cult"
"cunt","a woman who is thoroughly disliked; ""she said her son thought Hilary was a bitch"""
"bitch","a woman who is thoroughly disliked; ""she said her son thought Hilary was a bitch"""
"cupbearer","the attendant (usually an officer of a nobleman''s household) whose duty is to fill and serve cups of wine"
"cur","a cowardly and despicable person"
"curandera","a Mexican woman who practices healing techniques inherited from the Mayans"
"curandero","a Mexican man who practices healing techniques inherited from the Mayans"
"curate","a person authorized to conduct religious worship"
"minister","a person authorized to conduct religious worship"
"parson","a person authorized to conduct religious worship"
"pastor","a person authorized to conduct religious worship"
"rector","a person authorized to conduct religious worship"
"curator","the custodian of a collection (as a museum or library)"
"conservator","the custodian of a collection (as a museum or library)"
"curmudgeon","a crusty irascible cantankerous old person full of stubborn ideas"
"currier","a craftsman who curries leather for use"
"custodian","one having charge of buildings or grounds or animals"
"keeper","one having charge of buildings or grounds or animals"
"steward","one having charge of buildings or grounds or animals"
"customer","someone who pays for goods or services"
"client","someone who pays for goods or services"
"client","a person who seeks the advice of a lawyer"
"cutler","a dealer in cutlery"
"cutter","someone whose work is cutting (as e.g. cutting cloth for garments)"
"cutter","someone who carves the meat"
"carver","someone who carves the meat"
"cutthroat","someone who murders by cutting the victim''s throat"
"cybernaut","a computer user who uses the internet; someone who explores cyberspace"
"cyberpunk","a writer of science fiction set in a lawless subculture of an oppressive society dominated by computer technology"
"cyborg","a human being whose body has been taken over in whole or in part by electromechanical devices; ""a cyborg is a cybernetic organism"""
"cyclist","a person who rides a bicycle"
"bicyclist","a person who rides a bicycle"
"bicycler","a person who rides a bicycle"
"wheeler","a person who rides a bicycle"
"cynic","someone who is critical of the motives of others"
"faultfinder","someone who is critical of the motives of others"
"Cynic","a member of a group of ancient Greek philosophers who advocated the doctrine that virtue is the only good and that the essence of virtue is self-control"
"cytologist","a biologist who studies the structure and function of cells"
"czar","a person having great power"
"czar","a male monarch or emperor (especially of Russia prior to 1917)"
"tsar","a male monarch or emperor (especially of Russia prior to 1917)"
"tzar","a male monarch or emperor (especially of Russia prior to 1917)"
"czarina","the wife or widow of a czar"
"tsarina","the wife or widow of a czar"
"tzarina","the wife or widow of a czar"
"czaritza","the wife or widow of a czar"
"tsaritsa","the wife or widow of a czar"
"dabbler","an amateur who engages in an activity without serious intentions and who pretends to have knowledge"
"dilettante","an amateur who engages in an activity without serious intentions and who pretends to have knowledge"
"sciolist","an amateur who engages in an activity without serious intentions and who pretends to have knowledge"
"dacoit","a member of an armed gang of robbers"
"dakoit","a member of an armed gang of robbers"
"dad","an informal term for a father; probably derived from baby talk"
"dada","an informal term for a father; probably derived from baby talk"
"daddy","an informal term for a father; probably derived from baby talk"
"papa","an informal term for a father; probably derived from baby talk"
"pappa","an informal term for a father; probably derived from baby talk"
"pater","an informal term for a father; probably derived from baby talk"
"pop","an informal term for a father; probably derived from baby talk"
"dairymaid","a woman who works in a dairy"
"milkmaid","a woman who works in a dairy"
"dairyman","a man who works in a diary"
"dairyman","the owner or manager of a dairy"
"dalesman","a person who lives in the dales of northern England"
"dallier","someone who wastes time"
"dillydallier","someone who wastes time"
"mope","someone who wastes time"
"lounger","someone who wastes time"
"Dalmatian","a native or inhabitant of Dalmatia"
"dame","informal terms for a (young) woman"
"doll","informal terms for a (young) woman"
"wench","informal terms for a (young) woman"
"skirt","informal terms for a (young) woman"
"chick","informal terms for a (young) woman"
"bird","informal terms for a (young) woman"
"damsel","a young unmarried woman"
"demoiselle","a young unmarried woman"
"damoiselle","a young unmarried woman"
"damosel","a young unmarried woman"
"damozel","a young unmarried woman"
"dame","a woman of refinement; ""a chauffeur opened the door of the limousine for the grand lady"""
"madam","a woman of refinement; ""a chauffeur opened the door of the limousine for the grand lady"""
"ma'am","a woman of refinement; ""a chauffeur opened the door of the limousine for the grand lady"""
"lady","a woman of refinement; ""a chauffeur opened the door of the limousine for the grand lady"""
"gentlewoman","a woman of refinement; ""a chauffeur opened the door of the limousine for the grand lady"""
"dancer","a performer who dances"
"dancer","a person who participates in a social gathering arranged for dancing (as a ball)"
"dandy","a man who is much concerned with his dress and appearance"
"dude","a man who is much concerned with his dress and appearance"
"fop","a man who is much concerned with his dress and appearance"
"gallant","a man who is much concerned with his dress and appearance"
"sheik","a man who is much concerned with his dress and appearance"
"beau","a man who is much concerned with his dress and appearance"
"swell","a man who is much concerned with his dress and appearance"
"clotheshorse","a man who is much concerned with his dress and appearance"
"Daniel","a wise and upright judge; ""a Daniel come to judgment"" -- Shakespeare"
"danseur","a male ballet dancer who is the partner of a ballerina"
"daredevil","a reckless impetuous irresponsible person"
"madcap","a reckless impetuous irresponsible person"
"hothead","a reckless impetuous irresponsible person"
"swashbuckler","a reckless impetuous irresponsible person"
"lunatic","a reckless impetuous irresponsible person"
"tearaway","a reckless and impetuous person"
"darling","a special loved one"
"favorite","a special loved one"
"favourite","a special loved one"
"pet","a special loved one"
"dearie","a special loved one"
"deary","a special loved one"
"ducky","a special loved one"
"Darwinian","an advocate of Darwinism"
"dastard","a malicious coward"
"date","a participant in a date; ""his date never stopped talking"""
"escort","a participant in a date; ""his date never stopped talking"""
"dauber","an unskilled painter"
"daughter","a female human offspring; ""her daughter cared for her in her old age"""
"girl","a female human offspring; ""her daughter cared for her in her old age"""
"dauphin","formerly, the eldest son of the King of France and direct heir to the throne"
"dawdler","someone who takes more time than necessary; someone who lags behind"
"drone","someone who takes more time than necessary; someone who lags behind"
"laggard","someone who takes more time than necessary; someone who lags behind"
"lagger","someone who takes more time than necessary; someone who lags behind"
"trailer","someone who takes more time than necessary; someone who lags behind"
"dayboy","a day boarder who is a boy"
"daydreamer","someone who indulges in idle or absent-minded daydreaming"
"woolgatherer","someone who indulges in idle or absent-minded daydreaming"
"stargazer","someone indifferent to the busy world; ""in the Odyssey Homer tells of lotus-eaters who live in dreamy indolence"""
"daygirl","a day boarder who is a girl"
"deacon","a cleric ranking just below a priest in Christian churches; one of the Holy Orders"
"deacon","a Protestant layman who assists the minister"
"deaconess","a woman deacon"
"deadeye","a dead shot"
"deceased","someone who is no longer alive; ""I wonder what the dead person would have done"""
"decedent","someone who is no longer alive; ""I wonder what the dead person would have done"""
"departed","someone who is no longer alive; ""I wonder what the dead person would have done"""
"decipherer","a reader capable of reading and interpreting illegible or obscure text"
"decoder","the kind of intellectual who converts messages from a code to plain text"
"decipherer","the kind of intellectual who converts messages from a code to plain text"
"decoy","a beguiler who leads someone into danger (usually as part of a plot)"
"steerer","a beguiler who leads someone into danger (usually as part of a plot)"
"deipnosophist","someone skilled at across-the-table chit chat"
"dropout","someone who quits school before graduation"
"dropout","someone who withdraws from a social group or environment"
"deadhead","a nonenterprising person who is not paying his way; ""the deadheads on the payroll should be eased out as fast as possible"""
"dealer","the person who distributes the playing cards in a card game"
"dean","an administrator in charge of a division of a university or college"
"dean","(Roman Catholic Church) the head of the College of Cardinals"
"dean","a man who is the senior member of a group; ""he is the dean of foreign correspondents"""
"doyen","a man who is the senior member of a group; ""he is the dean of foreign correspondents"""
"debaser","a person who lowers the quality or character or value (as by adding cheaper metal to coins)"
"degrader","a person who lowers the quality or character or value (as by adding cheaper metal to coins)"
"debater","someone who engages in debate"
"arguer","someone who engages in debate"
"debtor","a person who owes a creditor; someone who has the obligation of paying a debt"
"debutante","a young woman making her debut into society"
"deb","a young woman making her debut into society"
"decadent","a person who has fallen into a decadent state (morally or artistically)"
"deceiver","someone who leads you to believe something that is not true"
"cheat","someone who leads you to believe something that is not true"
"cheater","someone who leads you to believe something that is not true"
"trickster","someone who leads you to believe something that is not true"
"beguiler","someone who leads you to believe something that is not true"
"slicker","someone who leads you to believe something that is not true"
"deckhand","a member of a ship''s crew who performs manual labor"
"roustabout","a member of a ship''s crew who performs manual labor"
"decorator","someone who decorates"
"ornamentalist","someone who decorates"
"defamer","one who attacks the reputation of another by slander or libel"
"maligner","one who attacks the reputation of another by slander or libel"
"slanderer","one who attacks the reputation of another by slander or libel"
"vilifier","one who attacks the reputation of another by slander or libel"
"libeler","one who attacks the reputation of another by slander or libel"
"backbiter","one who attacks the reputation of another by slander or libel"
"traducer","one who attacks the reputation of another by slander or libel"
"defaulter","a contestant who forfeits a match"
"defaulter","someone who fails to meet a financial obligation"
"deadbeat","someone who fails to meet a financial obligation"
"defaulter","someone who fails to make a required appearance in court"
"defeatist","someone who is resigned to defeat"
"negativist","someone who is resigned to defeat"
"defecator","a person who defecates"
"voider","a person who defecates"
"shitter","a person who defecates"
"deist","a person who believes that God created the universe and then abandoned it"
"freethinker","a person who believes that God created the universe and then abandoned it"
"delayer","a person who delays; to put off until later or cause to be late"
"delegate","a person appointed or elected to represent others"
"delinquent","a young offender"
"deliverer","a person who gives up or transfers money or goods"
"deliveryman","someone employed to make deliveries"
"deliverer","someone employed to make deliveries"
"demagogue","an orator who appeals to the passions and prejudices of his audience"
"demagog","an orator who appeals to the passions and prejudices of his audience"
"demander","a person who makes demands"
"demigod","a person with great powers and abilities"
"superman","a person with great powers and abilities"
"Ubermensch","a person with great powers and abilities"
"demimondaine","a woman whose sexual promiscuity places her outside respectable society"
"democrat","an advocate of democratic principles"
"populist","an advocate of democratic principles"
"Democrat","a member of the Democratic Party"
"demographer","a scientist who studies the growth and density of populations and their vital statistics"
"demographist","a scientist who studies the growth and density of populations and their vital statistics"
"demon","someone extremely diligent or skillful; ""he worked like a demon to finish the job on time""; ""she''s a demon at math"""
"demoniac","someone who acts as if possessed by a demon"
"demonstrator","someone who participates in a public display of group feeling"
"protester","someone who participates in a public display of group feeling"
"demonstrator","someone who demonstrates an article to a prospective buyer"
"demonstrator","a teacher or teacher''s assistant who demonstrates the principles that are being taught"
"denier","one who denies"
"denturist","someone who makes dental appliances (bridges and dentures)"
"dentist","a person qualified to practice dentistry"
"departer","someone who leaves"
"leaver","someone who leaves"
"goer","someone who leaves"
"dependant","a person who relies on another person for support (especially financial support)"
"dependent","a person who relies on another person for support (especially financial support)"
"depositor","a person who has deposited money in a bank or similar institution"
"depressive","someone suffering psychological depression"
"deputy","an assistant with power to act when his superior is absent"
"lieutenant","an assistant with power to act when his superior is absent"
"deputy","someone authorized to exercise the powers of sheriff in emergencies"
"deputy","a person appointed to represent or act on behalf of others"
"surrogate","a person appointed to represent or act on behalf of others"
"deputy","a member of the lower chamber of a legislative assembly (such as in France)"
"derelict","a person unable to support himself"
"dermatologist","a doctor who specializes in the physiology and pathology of the skin"
"dervish","an ascetic Muslim monk; a member of an order noted for devotional exercises involving bodily movements"
"descendant","a person considered as descended from some ancestor or race"
"descendent","a person considered as descended from some ancestor or race"
"descender","someone who descends"
"deserter","a person who abandons their duty (as on a military post)"
"defector","a person who abandons their duty (as on a military post)"
"deserter","a disloyal person who betrays or deserts his cause or religion or political party or friend etc."
"apostate","a disloyal person who betrays or deserts his cause or religion or political party or friend etc."
"renegade","a disloyal person who betrays or deserts his cause or religion or political party or friend etc."
"turncoat","a disloyal person who betrays or deserts his cause or religion or political party or friend etc."
"recreant","a disloyal person who betrays or deserts his cause or religion or political party or friend etc."
"ratter","a disloyal person who betrays or deserts his cause or religion or political party or friend etc."
"designer","a person who devises plots or intrigues; ""he is believed to be the principal designer of the terrorist bombing attack"""
"intriguer","a person who devises plots or intrigues; ""he is believed to be the principal designer of the terrorist bombing attack"""
"deskman","the police sergeant on duty in a police station"
"desperado","a bold outlaw (especially on the American frontier)"
"desperate","a person who is frightened and in need of help; ""they prey on the hopes of the desperate"""
"destroyer","a person who destroys or ruins or lays waste to; ""a destroyer of the environment""; ""jealousy was his undoer""; ""uprooters of gravestones"""
"ruiner","a person who destroys or ruins or lays waste to; ""a destroyer of the environment""; ""jealousy was his undoer""; ""uprooters of gravestones"""
"undoer","a person who destroys or ruins or lays waste to; ""a destroyer of the environment""; ""jealousy was his undoer""; ""uprooters of gravestones"""
"waster","a person who destroys or ruins or lays waste to; ""a destroyer of the environment""; ""jealousy was his undoer""; ""uprooters of gravestones"""
"uprooter","a person who destroys or ruins or lays waste to; ""a destroyer of the environment""; ""jealousy was his undoer""; ""uprooters of gravestones"""
"detainee","some held in custody"
"detective","a police officer who investigates crimes"
"investigator","a police officer who investigates crimes"
"tec","a police officer who investigates crimes"
"detective","an investigator engaged or employed in obtaining information not easily available to the public"
"detractor","one who disparages or belittles the worth of something"
"disparager","one who disparages or belittles the worth of something"
"depreciator","one who disparages or belittles the worth of something"
"knocker","one who disparages or belittles the worth of something"
"developer","someone who develops real estate (especially someone who prepares a site for residential or commercial use)"
"deviationist","an ideological defector from the party line (especially from orthodox communism)"
